"Price","Sq.feet","Title","Address","Date.Posted","Building.Type","Bedrooms","Bathrooms","Utilities","Wi.Fi.and.More","Parking.Included","Agreement.Type","Move.In.Date","Pet.Friendly","Furnished","Air.Conditioning","Personal.Outdoor.Space","Smoking.Permitted","Appliances","Amenities","Description","Visit.Counter","url"
1500,600,"Bright light One Bedroom Basement Apartment in Scarborough","Overture Road, Scarborough, ON","2024-03-13 22:35:45","Basement","1","1","Hydro_No,Heat_Yes,Water_No","Internet","1","1 Year","April 2, 2024","No","No","Yes","Not Included","No","Laundry (In Unit), Fridge / Freezer",NA,"Individual 1 bedroom in the basement with large window * Washroom attached to the bedroom, No Living Room
* TTC and Go services,
Close to all Amenities.
* internet, Laundry shared and 1 Parking included
* Mall: Cederbrae & Morningside
* Preferred clean and responsible working person
* NO SMOKING, NO PETS
* Employment letter & credit check
* Available 2nd April 2024
*First and last month required. $1500 per month
* Utilities Hydro & Water 20%
* Please contact 647-240-1116 / 647-462-5587 .
This ad will be up until unit has been rented.","49 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-light-one-bedroom-basement-apartment-in-scarborough/1688149658"
2900,700,"North York Loft Condo For Rent","188 Doris Ave, North York, ON M2N 6Z5","2024-03-09 13:34:30","Apartment","1","1.5",NA,"Not Included","1","1 Year","May 1, 2024","No","No","Yes","Not Included","No",NA,NA,"Renovated Loft available for rent starting May 1 2024. Unit is a 1 Bed, 1.5 bath setup with a unique two floor layout that is rarely on the market. Kitchen was recently renovated with new applicnaces throughout. Unit has laundry built in with a new washer dryer. Walk in closet, open flowing layout and great amenities in the building.
Unit is located across the street from the Yonge Subway line for convienent access to transit. Rent is fully inclusive of all utilities excluding Cable/Internet. Unit is also a 5 min drive to the 401 for easy commuting access.
Unit includes one very open parking space on the first level of the garage for easy in and out access.","46 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/north-york-loft-condo-for-rent/1687711210"
2519,665,"1 Bed Apartment Rent today","100 Parkway Forest Drive, Toronto, ON, M2J 1L6","2024-03-06 00:35:06","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year",NA,"Limited","No","No","Yard","Yes","Laundry (In Building), Fridge / Freezer","Gym, Pool, 24 Hour Security, Storage Space, Elevator in Building","For a limited time, you can receive ONE MONTH FREEon a 12-month lease.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-apartment-rent-today/1650009067"
1550,700,"Basement apartment for rent at Scarborough, Victoria/401","Scarborough, Toronto, ON M1R 3E4",NA,"Basement","1","1",NA,"Not Included","1","Month-to-month","February 1, 2024","No","No","No","Not Included","No","Laundry (In Building), Fridge / Freezer",NA,"Clean and spacious basement apartment for rent. Walking distance to all amenities and some bus stops, close to highway 401. One independent living room and one bedroom (can be converted into two bedrooms), separate entrance, separate kitchen, and washroom. Shared laundry. One parking space can be provided. The price is negotiable.
Welcome to send me a message or call me at 4166182116 if you are interested. I will answer all your inquiries as soon as I can.","794 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-apartment-for-rent-at-scarborough-victoria-401/1682832500"
2311,705,"2222 Weston Rd. - 1 Bedroom Apartment for Rent","2222 Weston Road, Toronto, ON, M9N 1Y7","2024-03-08 13:54:00","Apartment","1","1","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year",NA,"No","No","No","Not Included","No",NA,NA,"Location Details",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2222-weston-rd-1-bedroom-apartment-for-rent/1687611876"
2000,698,"Brand New 1 bed Condos With & W/o Parking (Markham + Ellesmere)","20 Meadowglen Place, Scarborough, ON","2024-03-14 08:00:31","Condo","1 + Den","2","Hydro_No,Heat_Yes,Water_Yes","Not Included","1","1 Year","March 8, 2024","No","No","Yes","Balcony","Outdoors only","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Welcome to Meadowglen Place, a delightful 1-bedroom with a den, 2-bathroom residence with a very functional layout. This unit boasts over 676 square feet with tons of upgrades throughout and your own private terrace. Nestled in a prime location, this Condo offers a perfect blend of comfort, style, and functionality. The condo offers it's residents amenities such as a Gym / Exercise Room, Pool, Rooftop Deck, Bbq pits and so much more. Be the first to live in this untouched condo.","363 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-1-bed-condos-with-w-o-parking-markham-ellesmere/1687609761"
2000,750,"2 bedrooms basement apt. in a detached house","Scarborough, ON M1P 1E9","2024-03-02 21:08:37","Apartment","2","1","Hydro_Yes,Heat_Yes,Water_Yes","Not Included","1","1 Year","April 1, 2024","No","No","No","Yard","Outdoors only","Laundry (In Building), Fridge / Freezer",NA,"2 bedrooms basement apt.in a detached house. Near Lawrence Avenue East/Kennedy Road in Scarborough.
Rent $2000 a month, (inclusive) depends how many people/parking or best offer.
Have own separate entrance. No sharing/bachelor unit. 2 bedrooms basement apt., Prefer 2/3 people.","136 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedrooms-basement-apt-in-a-detached-house/1687104043"
1600,600,"Keele/Wilson Basement Bachelor Apartment","North York, ON M3M 2L6","2024-02-27 22:58:14","Basement","Bachelor/Studio","1",NA,"Not Included","0","1 Year","March 1, 2024","Limited","No","Yes","Yard","Outdoors only","Laundry (In Building), Fridge / Freezer",NA,"Clean open concept Bachelor/Studio in desirable Downsview Neighbourhood. Separate Entrance. Tenant to pay 30% of all utilities. Shared Laundry. Available March 1st 2024.","211 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/keele-wilson-basement-bachelor-apartment/1686660733"
2315,625,"1 Bedroom Apartment for Rent - 2980 Don Mills Road","2980 Don Mills Road, Toronto, ON, M2J 3B9","2024-03-14 14:07:31","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","April 1, 2024","Limited","No","No","Balcony","No","Fridge / Freezer","Elevator in Building","$500 Move-In Bonus!",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-2980-don-mills-road/1685447683"
1859,650,"YONGE + EGLINTON / AVENUE ROAD / FOREST HILL","50 Oxton Avenue, Toronto, ON","2024-03-13 14:19:21","Apartment","1","1",NA,"Not Included","0","1 Year","April 1, 2024","Limited","No","No","Not Included","No","Laundry (In Building), Fridge / Freezer","Elevator in Building","YONGE AND EGLINTON / AVENUE ROAD + FOREST HILL",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge-eglinton-avenue-road-forest-hill/1684026186"
2925,830,"Chatsworth Apartments - 2 Bdrm available at 2928 Yonge Street, T","2928 Yonge Street, Toronto, ON, M4R 2K2","2024-03-03 00:08:08","Apartment","2","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","April 1, 2024","Yes","No","No","Not Included","No","Laundry (In Building), Fridge / Freezer","Elevator in Building","1 Month Free Rent",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/chatsworth-apartments-2-bdrm-available-at-2928-yonge-street-t/1684096218"
1805,246,"Studio Apartment for Rent - 24 Tyndall Avenue","24 Tyndall Avenue, Toronto, ON, M6K 2E3","2024-03-13 19:38:45","Apartment","Bachelor/Studio","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","April 7, 2024","No","No","No","Not Included","No","Laundry (In Building)","Storage Space","Utilities Included",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-apartment-for-rent-24-tyndall-avenue/1687518613"
1800,500,"Furnished and fully equipped basement apartment","Toronto, ON M4R 1P4","2024-02-23 21:09:07","Basement","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Cable / TVInternet","0","1 Year","March 1, 2024","Yes","Yes","No","Not Included","Outdoors only","Laundry (In Unit), Dishwasher, Fridge / Freezer",NA,"Fully furnished and fully equipped one bedroom cozy basement apartment in Toronto prime area available immediately. It is close to Lawrence and Avenue Rd. intersection. TTC bus station (#61) to Yonge and Eglinton subway is steps away. Yonge and Lawrence subway is 15 minutes walk. The apartment has a separate entrance with it’s own laundry, kitchen, bathroom and a cold/storage room. Heating is independent, with a separate thermostat. It would be best for a single professional or a couple although it sleeps up to three. The sitting area is configurable into one double or two single beds. Another single bed can be separated with a removable shade as shown on pictures. Internet, TV and all utilities are included. Parking on the street is always available and allowed. One parking spot is optional (extra). Please download, fill-in the application form from: https://www.mkpro.ca/files/Rental%20Application%20-%202022.pdf
and have it ready prior to calling! (Zip with the password for privacy as needed.) Shorter than one year agreements will be considered. Video presentation is available upon request.","210 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-and-fully-equipped-basement-apartment/1686214558"
1450,300,"1 Bed Apt for  Hwy 404/401(Sheppard/Pharmacy/Finch) Apil 1","Scarborough, ON M1W 1K5","2024-03-14 01:50:06","Apartment","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","0","Month-to-month","April 1, 2024","No","Yes","Yes","Not Included","Outdoors only","Laundry (In Unit), Fridge / Freezer",NA,"Furnished one bedroom apartment in Detached House Main Floor including one bedroom, kitchen, washroom and laundry( all private ) , Great location, nice neighbor.
Rent include hydro, WiFi, heat, water. NO extra hidden fee.
Single , ask $1450/month for rent Two person $1750/month No smoking inside, no pets, no party. Start April 1
If interested, please contact me at 647-280-2886.","47 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-apt-for-hwy-404-401-sheppard-pharmacy-finch-apil-1/1688164967"
2000,650,"Sunny 1 bdrm with lovely deck","272 Parliament Street, Toronto, ON, M5A 3A4","2024-03-12 19:54:01","Apartment","1","1","Hydro_No,Heat_No,Water_Yes","Not Included","0","Not Available","February 29, 2024","Yes","No","Yes","Balcony","No","Fridge / Freezer",NA,"Discover your new home at 272 Parliament Street! This stunning location is perfectly situated in the heart of the city, boasting a fantastic walking score of 94, a perfect public transit score of 100, and a cyclist score of 97. The interior of this home features an open-concept kitchen, living, and dining area, with a bedroom that leads to a beautiful west-facing patio - perfect for enjoying the great outdoors. We even allow one small pet, so your furry friend can enjoy the space too! We do require a damage deposit, but with the unbeatable location and amenities, it's worth it. Don't wait - this unit is available for immediate move-in. Schedule a viewing today and experience the best of city living!",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/sunny-1-bdrm-with-lovely-deck/1688028786"
3347,900,"Upscale 2 Bedroom Suite Davisville & Mt Pleasant Rd","345 Merton St., Toronto, ON, M4S 1B5","2024-03-13 17:01:43","Apartment","2","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","March 1, 2024","Yes","No","No","Balcony","Outdoors only","Laundry (In Building), Fridge / Freezer","Bicycle Parking, Storage Space, Elevator in Building",NA,NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-2-bedroom-suite-davisville-mt-pleasant-rd/1642488741"
2199,524,"2292 Weston Rd. - 1 Bedroom Apartment for Rent","2292 Weston Road, Toronto, ON, M9N 1Z2","2024-03-08 13:48:00","Apartment","1","1","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year",NA,"No","No","No","Not Included","No",NA,NA,"Location Details",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2292-weston-rd-1-bedroom-apartment-for-rent/1687611862"
2679,932,"833 Kennedy Road - Helen Towers Apartment for Rent","833 Kennedy Road, Toronto, ON, M1K 2E3","2024-03-12 12:48:00","Apartment","2","1",NA,"Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Fridge / Freezer","Elevator in Building","Situated in a family-oriented area of Scarborough, Helen Towers is a wonderful rental community located close to several schools, a childcare centre, a community centre, public library, and shopping. Your home backs onto Treverton Park – the perfect place to walk your dog or take the kids to the playground. There is a grocery store and a Shoppers Drug Mart just steps away on Eglinton Avenue East. The TTC stops outside your door and The Kennedy subway station, the Kennedy GO station, and Scarborough RT are a short walk away – making all parts of Toronto and the GTA easily accessible.All the shopping and entertainment options of Eglinton Town Centre and Eglinton Square are minutes away as well. Centennial College Ashtonbee Campus, Ashtonbee Reservoir Park, Wexford Park and nature trails are all close by.Your bright and spacious, pet-friendly rental apartment features gleaming parquet floors and a private balcony. Enjoy the convenience of on-site laundry facilities, plenty of visitor parking, and parking available for you. Experience the peace of mind that comes with monitored security cameras and a friendly on-site management team – there to handle any maintenance issues that may arise. Helen Towers is a Certified Rental Building.If you're looking for a comfortable, convenient, and family-friendly place to call home, you can stop searching. Helen Towers (833 Kennedy Road) is ready to welcome you. nullBuilding OverivewSituated in a family-oriented area of Scarborough, Helen Towers is a wonderful rental community located close to several schools, a childcare centre, a community centre, public library, and shopping. Your home backs onto Treverton Park – the perfect place to walk your dog or take the kids to the playground. There is a grocery store and a Shoppers Drug Mart just steps away on Eglinton Avenue East. The TTC stops outside your door and The Kennedy subway station, the Kennedy GO station, and Scarborough RT are a short walk away – making all parts of Toronto and the GTA easily accessible.All the shopping and entertainment options of Eglinton Town Centre and Eglinton Square are minutes away as well. Centennial College Ashtonbee Campus, Ashtonbee Reservoir Park, Wexford Park and nature trails are all close by.Your bright and spacious, pet-friendly rental apartment features gleaming parquet floors and a private balcony. Enjoy the convenience of on-site laundry facilities, plenty of visitor parking, and parking available for you. Experience the peace of mind that comes with monitored security cameras and a friendly on-site management team – there to handle any maintenance issues that may arise. Helen Towers is a Certified Rental Building.If you're looking for a comfortable, convenient, and family-friendly place to call home, you can stop searching. Helen Towers (833 Kennedy Road) is ready to welcome you.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/833-kennedy-road-helen-towers-apartment-for-rent/1687981162"
1949,386,"82 Warren Road - Studio Apartment for Rent","82 Warren Road, Toronto, ON, M4V 2R7","2024-03-12 12:18:00","Apartment","Bachelor/Studio","1","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year",NA,"No","No","No","Not Included","No",NA,"Elevator in Building","Utilities Included",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/82-warren-road-studio-apartment-for-rent/1687981587"
2000,730,"One bedroom apartment Yonge Sheppard subway","48 Anndale Drive, North York, ON","2024-03-14 11:30:48","Basement","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","1","Month-to-month","April 1, 2024","No","No","Yes","Yard","Outdoors only","Laundry (In Building)",NA,"Walk to Yonge Sheppard subway.very clean and quiet and modern. Utility and internet and one parking space included . Text me for details 416-949-3346 Fred","15 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-apartment-yonge-sheppard-subway/1688181158"
1100,200,"Downtown Toronto 1 Bedroom","Toronto, ON M4K","2024-03-14 13:25:38","Apartment","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","0","1 Year","April 1, 2024","No","Yes","Yes","YardBalcony","No","Laundry (In Building), Fridge / Freezer",NA,"Downtown Toronto Gerrard and Carlaw Furnished, newly renovated 1 bedroom, air condition, high speed internet, laundry, close to school, shopping and TTC, $1,100/month utilities included. Call (647) 812 4389.","15 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-toronto-1-bedroom/1688188333"
1849,800,"Newly Renovated Basement Apartment","York, ON M6S 4N1",NA,"Basement","1","1",NA,"Internet","0","1 Year","January 19, 2024","No","Yes","Yes","Not Included","No","Laundry (In Unit)",NA,"Newly renovated one bedroom basement apartment, perfect for a young professional/student to move into in the sought after Baby Point neighbourhood!","336 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-renovated-basement-apartment/1682797892"
3475,760,"Wellesley Apartments - 2 Bdrm available at 100 Wellesley Street","100 Wellesley Street East, Toronto, ON, M4Y 1H5","2024-02-18 00:35:10","Apartment","2","1","Hydro_No,Heat_No,Water_Yes","Not Included","0","1 Year","May 1, 2024","Yes","Yes","Yes","Balcony","No","Laundry (In Building)","Gym, Pool, Elevator in Building","No Last Month's Rent Deposit",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-2-bdrm-available-at-100-wellesley-street/1682904719"
3525,573,"1 Bed 1 Bath Furnished Apartment - Downtown Toronto","Spadina Avenue, Toronto, ON","2024-02-25 05:36:01","Apartment","1","1",NA,"Internet","1","Month-to-month","March 1, 2024","Yes","Yes","Yes","Not Included","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Location: 484 Spadina Ave","25 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-furnished-apartment-downtown-toronto/1686361104"
2070,504,"Subletting a bachelor apt. May to Sep. 750 Morningside Avenue","750 Morningside Avenue, Scarborough, ON","2024-02-14 19:55:57","Apartment","Bachelor/Studio","1",NA,"Not Included","1","Month-to-month","May 1, 2024","Yes","Yes","Yes","Balcony","No","Laundry (In Building), Dishwasher, Fridge / Freezer","Gym, Pool, 24 Hour Security, Storage Space, Elevator in Building","Student in UTSC leaving for the summer. Very close to campus. Bright and spacious. I can leave my furniture for you to use if you want.
Pictures in the website below.
https://www.metcap.com/apartment/scarborough-bachelor-at-750-morningside-avenue-scarborough-on-m1c-3a1?lang=en","83 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/subletting-a-bachelor-apt-may-to-sep-750-morningside-avenue/1685304765"
1899,391,"320-342 Avenue Road - 0bdrm Apartment for Rent","342 Avenue Road, Toronto, ON, M4V 2H3","2024-03-11 22:00:00","Apartment","Bachelor/Studio","1","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year","March 28, 2024","No","No","No","Not Included","No","Dishwasher",NA,"Location Details",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/320-342-avenue-road-0bdrm-apartment-for-rent/1687944427"
1700,700,"Charming Apartment in Charming Area with Backyard","46 Wardell Street, Toronto, ON, M4M 2L5","2024-03-11 18:36:00","Basement","1","1","Hydro_Yes,Heat_No,Water_Yes","Not Included","0","Not Available","April 1, 2021","No","No","No","Yard","No","Laundry (In Unit), Fridge / Freezer",NA,NA,NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/charming-apartment-in-charming-area-with-backyard/1687926627"
1700,293,"Renovated bachelor, King and Jameson - ID 2541","28 Maynard Avenue, Toronto, ON, M6K 2Z9","2024-03-01 00:09:07","Apartment","Bachelor/Studio","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","Not Available","April 1, 2024","Yes","No","No","Not Included","No","Laundry (In Unit), Laundry (In Building), Fridge / Freezer","Bicycle Parking",NA,NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-king-and-jameson-id-2541/1683888315"
2310,788,"Mimico Estates - 1 Bdrm available at 2527 Lake Shore Blvd West,","2527 Lake Shore Blvd West, Toronto, ON, M8V 1E6","2024-03-02 00:07:24","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Laundry (In Building), Fridge / Freezer","Elevator in Building","Visit our Website: https://www.capreit.ca/apartments-for-rent/toronto-on/mimico-estates/",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/mimico-estates-1-bdrm-available-at-2527-lake-shore-blvd-west/1673782058"
2500,700,"Apartment","York Street, Toronto, ON","2024-03-09 17:22:20","Condo","1 + Den","1","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year","March 15, 2024","Yes","No","Yes","Balcony","Outdoors only","Laundry (In Unit)","Gym, 24 Hour Security, Bicycle Parking, Storage Space","1 bedroom with a den for rent in Downtown Toronto.
No parking.
Laundry inside the unit.
Beautiful location,walking distance to
Lakeshore and TTC/Go Train.","73 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apartment/1687733902"
1600,300,"Different and Steeles studio from March 15","Capilano Ct, Concord, ON L4K 1L2",NA,"Basement","Bachelor/Studio","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","0","1 Year","March 15, 2024","No","No","Yes","Not Included","No","Laundry (In Building)",NA,"Studio apartment in basement is suitable for couples. Available from March 15th. Quiet location next to park, plaza. Separate entrance. Close to Dufferin and Steeles. TTC. York University. 1 parking available for $50 negotiable.
First and last month rent. Reference check. Employment letter and pay slips.","400 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/different-and-steeles-studio-from-march-15/1684353699"
2550,70,"Apartment for Rent- 20 Tubman Ave","Toronto, ON M5A 0M8",NA,"Apartment","1 + Den","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","1","1 Year","February 1, 2024","Yes","No","Yes","Balcony","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Modern 1+1 apartment
8th floor
Parking and locker included
Spacious balcony
Modern appliances: stove, oven, refrigerator, dishwasher, microwave
In-unit washer and dryer
24H concierge
Gym
Party room
Lounge
Media room
Kids zone
Bike storage area
Pet washing station","110 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apartment-for-rent-20-tubman-ave/1684344115"
2315,680,"1 Bedroom Apartment for Rent - 25 Parkway Forest Drive","25 Parkway Forest Drive, Toronto, ON, M2J 1L4","2024-03-14 14:05:59","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","June 1, 2024","Limited","No","No","Balcony","No","Laundry (In Building), Fridge / Freezer","Elevator in Building","Discover the perfect blend of convenience and accessibility at Laurel Grove, situated at 25 Parkway Forest Drive. Boasting excellent proximity to the DVP and 401, coupled with the added convenience of being directly across the street from Fairview Mall, Laurel Grove offers an unparalleled location in Toronto.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-25-parkway-forest-drive/1686872328"
3350,650,"FOR RENT: Modern 2 Bedrooms W/ 2 Bathrooms Condo Unit","20 Richardson Street, Toronto, ON","2024-03-06 19:48:26","Apartment","2","2","Hydro_No,Heat_No,Water_Yes","Not Included","1","1 Year","April 1, 2024","No","No","Yes","Balcony","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge","20 Richardson St Unit 2607","21 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/for-rent:-modern-2-bedrooms-w-2-bathrooms-condo-unit/1687473035"
2000,600,"Convenient  Bachelor Rental ( 5 mins from subway)","Roehampton Avenue, Toronto, ON",NA,"Apartment","Bachelor/Studio","1","Hydro_No,Heat_Yes,Water_Yes","Internet","1","Month-to-month","January 21, 2024","Yes","No","No","Balcony","Yes","Laundry (In Building)","24 Hour Security, Bicycle Parking, Elevator in Building","If your looking for something closer to work in the city or just a conveniently located place for your own, sublease my bachelor apartment short term. Electricity included.","223 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/convenient-bachelor-rental-5-mins-from-subway/1683058571"
1750,560,"1 Bed 1 Bath Apartment $1,750 Danforth Toronto","East York, ON M4J 3V2",NA,"Basement","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Not Included","0","1 Year","April 1, 2024","Limited","No","Yes","Not Included","No","Laundry (In Unit), Fridge / Freezer",NA,"Bright 1 bedroom basement apartment in a family friendly neighbourhood located at Donlands and Mortimer. Great accessibility to many green spaces. Minutes to Danforth shops and restaurants, and a short drive to Evergreen Brickworks and the Beaches.","327 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-apartment-1-750-danforth-toronto/1684960031"
2160,385,"Studio Apartment for Rent - 391 Sherbourne Street","391 Sherbourne Street, Toronto, ON, M4X 1K4","2024-03-13 14:47:19","Apartment","Bachelor/Studio","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year",NA,"Limited","No","No","Not Included","No",NA,NA,"Looking for your new rental property in a great location that will complement your lifestyle? 391 Sherbourne Street is ideally located in the heart of downtown Toronto. Below are some of the highlights of 391 Sherbourne Street for you to get a better idea of what living there would look like.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-apartment-for-rent-391-sherbourne-street/1684095496"
3300,813,"2 Bed plus Study area 813 sq. ft. St Lawrence Toronto Condo","158 Front St E, Toronto, ON","2024-02-28 19:30:12","Apartment","2 + Den","2",NA,"Internet","0","1 Year","March 1, 2024","Limited","No","Yes","Balcony","No","Laundry (In Unit)","Gym, Pool, Concierge, Elevator in Building","Beautifully Designed 2 Bedroom Plus Study In The Sought After St Lawrence Condos. South East Exposure With Floor To Ceiling Windows Where One Will Enjoy Stunning Lake And City Views! High Ceiling Heights Cap Off The Expansive Feel Of This Well Designed Layout. 5 Star Amenities Include Gym, Rooftop Pool & Patio, Party Room, Rooftop Terrace, Billiard Lounge, Theatre, 24 Hrs Concierge, Guest Suites.","45 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-plus-study-area-813-sq-ft-st-lawrence-toronto-condo/1686751769"
1550,250,"BACHELOR APARTMENT AVAILABLEIN DOWNTOWN TORONTO LESLIEVILLE AREA","936 Queen Street East, Toronto, ON","2024-03-10 18:15:33","Apartment","Bachelor/Studio","1","Hydro_Yes,Heat_Yes,Water_Yes","Cable / TVInternet","0","1 Year","March 1, 2024","No","Yes","Yes","Not Included","No",NA,NA,"Prime Bachelor Apartment in Leslieville, Downtown Toronto","579 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-availablein-downtown-toronto-leslieville-area/1686299532"
2150,544,"Renovated one bedroom at Oriole Parkway and Oxton - ID 1922","240 Oriole Parkway, Toronto, ON, M5P 2G9","2024-02-14 14:06:00","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","Not Available","March 14, 2024","Yes","No","Yes","Not Included","No","Laundry (In Unit), Laundry (In Building), Dishwasher, Fridge / Freezer","Bicycle Parking",NA,NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-one-bedroom-at-oriole-parkway-and-oxton-id-1922/1685269156"
2300,900,"1 bedroom plus Den Coxwell and Danforth","Toronto, ON M4C 3L7","2024-03-12 14:36:31","Apartment","1 + Den","1",NA,"Not Included","0","1 Year","May 1, 2024","Yes","No","No","Yard","No","Laundry (In Unit)",NA,"The basement has a low ceiling (5'11"") and contains the washroom, laundry, and den. The unit includes an open concept living/dining room, and kitchen. 1 bathroom, in-suite laundry and large backyard. Street parking only. 5 min walk to Coxwell subway station. No smoking. Rent $2300/month. Available May 1st.","25 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-plus-den-coxwell-and-danforth/1687998601"
3500,820,"Explore the epitome of King Street living - An innovative condom","East Gwillimbury, ON L9N 0R8","2024-03-07 21:51:07","Condo","2","2",NA,"Not Included","0","1 Year","March 31, 2024","Limited","No","Yes","Not Included","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, 24 Hour Security, Elevator in Building","Nestled in the vibrant entertainment district, surrounded by acclaimed eateries, bars, lifestyle conveniences, Queen Street shopping, the Financial District, and TTC accessibility.","24 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/explore-the-epitome-of-king-street-living-an-innovative-condom/1687580707"
2090,325,"Wellesley Apartments - Bachelor available at 100 Wellesley Stree","100 Wellesley Street East, Toronto, ON, M4Y 1H5","2024-03-14 14:09:43","Apartment","Bachelor/Studio","1","Hydro_No,Heat_No,Water_Yes","Not Included","0","1 Year",NA,"Yes","Yes","Yes","Balcony","No","Laundry (In Building)","Gym, Pool, Elevator in Building","No Last Month's Rent Deposit",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-bachelor-available-at-100-wellesley-stree/1670341721"
